vehicle_id,year,make,model,bat_url,image_count,bat_import_count,queue_image_count,low_res_count,external_listing_count,max_current_bid,max_end_date,has_active_listing,primary_issue,all_issues
"27063f1a-8e40-4781-90a9-b68e6e77911d","2014","Dodge","challenger r t","https://bringatrailer.com/listing/2014-dodge-challenger-r-t-7/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"0384369d-1787-48ce-a577-09276970d557","2002","Mercedes","benz sl500","https://bringatrailer.com/listing/2002-mercedes-benz-sl500-113/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"27d2310a-db1d-40a4-b6b2-45193e9f25c4","1930","Ford","Model A","https://bringatrailer.com/listing/1930-ford-model-a-279/","11","11","0","0","1","","","false","FEW_IMAGES","FEW_IMAGES"
"084674ee-6733-47a6-89f5-dedea591fda8","2005","Mercedes","benz e500 sedan","https://bringatrailer.com/listing/2005-mercedes-benz-e500-sedan-11/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"dc8c79be-190c-4437-ba7f-921161764717","1980","Mercedes","benz 450sel 6","https://bringatrailer.com/listing/1980-mercedes-benz-450sel-6-9/","11","0","0","0","0","","","false","FEW_IMAGES","FEW_IMAGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"f8162bdb-4d0d-49d5-b785-cf29481937a5","1997","Toyota","land cruiser fzj80","https://bringatrailer.com/listing/1997-toyota-land-cruiser-fzj80-232/","12","12","0","0","1","","","false","FEW_IMAGES","FEW_IMAGES"
"dbf412d0-63d5-48f1-a3b5-44321ab0c0bb","1939","Ford","deluxe","https://bringatrailer.com/listing/1939-ford-deluxe-12/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"998806ac-9218-4e42-9faa-3776442ccdbc","2007","Aston","martin db9 volante","https://bringatrailer.com/listing/2007-aston-martin-db9-volante-46/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"f9f564bd-039b-4ab1-9bd0-14c9dea16136","2009","Porsche","911 carrera 4s coupe","https://bringatrailer.com/listing/2009-porsche-911-carrera-4s-coupe-28/","0","0","0","0","0","","","false","NO_IMAGES","NO_IMAGES;MISSING_AUCTION_DATA"
"e78c0e2d-619d-4ea5-8f6c-08267eb9e92e","1972","Porsche","911t targa","https://bringatrailer.com/listing/1972-porsche-911t-targa-49/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"605071aa-96fb-4fd6-8469-c7b9ac6c2853","2002","Harley","davidson softail","https://bringatrailer.com/listing/2002-harley-davidson-softail-12/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"71ed0abb-a870-4f89-a8d0-b297b4167819","2003","Chevrolet","silverado 1500","https://bringatrailer.com/listing/2003-chevrolet-silverado-1500-36/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"61cdc233-a4b6-48f8-b1dc-c4f85e7d174b","2021","Gmc","sierra 1500","https://bringatrailer.com/listing/2021-gmc-sierra-1500-2/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"47119c05-46a3-402b-b4cb-0e0cca882d4a","2002","Jeep","wrangler","https://bringatrailer.com/listing/2002-jeep-wrangler-82/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"db4e3f2e-d350-4aa9-93f7-4084af6e4f77","2004","Dodge","ram srt 10","https://bringatrailer.com/listing/2004-dodge-ram-srt-10-116/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"df27931b-4cbc-46f6-9d6b-85132c030110","1968","Pontiac","lemans","https://bringatrailer.com/listing/1968-pontiac-lemans-16/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"105c0a1c-b238-418d-9363-2bab0640e8a9","2024","Cadillac","ct5 v blackwing","https://bringatrailer.com/listing/2024-cadillac-ct5-v-blackwing-16/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"4707b2cb-4498-4ab4-9f1b-586359cc0b2d","2024","Chevrolet","corvette z06","https://bringatrailer.com/listing/2024-chevrolet-corvette-z06-118/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"ba33df5b-2ba9-4d20-a780-91826043fb2b","2005","Porsche","cayenne turbo","https://bringatrailer.com/listing/2005-porsche-cayenne-turbo-48/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"1d2f8fcd-19f6-4b53-9acd-deb42b0a56a0","1996","Toyota","hilux","https://bringatrailer.com/listing/1996-toyota-hilux-6/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"68045383-2222-4496-870a-45fef07abfad","2001","Toyota","land cruiser","https://bringatrailer.com/listing/2001-toyota-land-cruiser-64/","33","33","0","0","1","","","true","MISSING_CURRENT_BID","MISSING_CURRENT_BID;MISSING_END_DATE"
"b15e00f3-6cf9-4238-bfd4-b9437f8496dd","1997","Ford","f 350","https://bringatrailer.com/listing/1997-ford-f-350-184/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"dc195248-7ec9-4f29-8ad2-f5df56437a20","1997","Ford","f 250","https://bringatrailer.com/listing/1997-ford-f-250-347/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"5ee2febc-638f-400a-8fa2-6e5907bc149a","2022","Ford","bronco raptor","https://bringatrailer.com/listing/2022-ford-bronco-raptor-99/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"c43ecc41-ee87-4ce2-a5f8-336d5edb49d2","2019","Mercedes","amg gls63","https://bringatrailer.com/listing/2019-mercedes-amg-gls63-2/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"3c91419a-7183-4159-a33e-f09ef9b3dbbe","2002","Bmw","m3 coupe","https://bringatrailer.com/listing/2002-bmw-m3-coupe-117/","9","0","9","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"b83ea972-8f32-41c6-af88-de15f2638328","2008","Toyota","fj cruiser","https://bringatrailer.com/listing/2008-toyota-fj-cruiser-98/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"ee30777f-c2ea-41ca-9753-65ae0ee767e5","1994","Dodge","viper rt 10","https://bringatrailer.com/listing/1994-dodge-viper-rt-10-97/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"2876adcd-6d5d-4773-8556-c2034ff57a8c","1948","Packard","super eight","https://bringatrailer.com/listing/1948-packard-super-eight-7/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"1b41354b-b3fb-4032-81f5-3b6276fd53fa","2008","Lexus","gx470","https://bringatrailer.com/listing/2008-lexus-gx470-38/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"a008fcf3-d962-4ee1-84c6-c5d5cc5a3768","1997","Porsche","911 carrera cabriolet","https://bringatrailer.com/listing/1997-porsche-911-carrera-cabriolet-122/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"9a5ec295-8d47-420d-ad72-c39ff732ac73","2016","Mini","cooper john cooper works f55 56","https://bringatrailer.com/listing/2016-mini-cooper-john-cooper-works-f55-56-57/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"ee392547-ed79-4504-bac4-d112eaae2922","2003","Ford","thunderbird","https://bringatrailer.com/listing/2003-ford-thunderbird-145/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"ab8698f8-b801-47d5-a41f-30a0a3d09469","2021","Ford","mustang shelby super snake","https://bringatrailer.com/listing/2021-ford-mustang-shelby-super-snake-5/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"76d097a7-4421-4d4c-aac8-613adddd5cdc","1964","International","harvester loadstar","https://bringatrailer.com/listing/1964-international-harvester-loadstar-1700/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"9cd7d179-7340-4ad3-b066-d759fd7b1cb5","1986","Ferrari","testarossa","https://bringatrailer.com/listing/1986-ferrari-testarossa-47/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"dcc10c73-8ba2-49ed-afed-4410303fd0be","2009","Porsche","911 carrera 4s cabriolet","https://bringatrailer.com/listing/2009-porsche-911-carrera-4s-cabriolet-40/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"6af1ff2d-29c8-40e5-8fb9-2b8f1d0af497","1991","Acura","nsx","https://bringatrailer.com/listing/1991-acura-nsx-293/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"ebab4620-f45b-417c-8438-93de7719e739","1977","Jeep","wagoneer","https://bringatrailer.com/listing/1977-jeep-wagoneer-25/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"2347c924-a032-43c8-b852-f4967fd0366f","1985","Land","rover 110","https://bringatrailer.com/listing/1985-land-rover-110-46/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"08c39c61-f914-4113-8663-f3325e60d544","1991","Toyota","sera","https://bringatrailer.com/listing/1991-toyota-sera-6/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"c3fd9436-6cf1-42ba-95c1-8bedef96da91","2016","Mercedes","benz sl400","https://bringatrailer.com/listing/2016-mercedes-benz-sl400-9/","11","11","0","0","1","","","false","FEW_IMAGES","FEW_IMAGES"
"8c7f20c9-6fb4-40c0-8256-7e5299aeb1d8","1950","Ford","custom deluxe","https://bringatrailer.com/listing/1950-ford-custom-deluxe-12/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"575054a0-a8d7-4c75-afe7-7c4229d97fc5","1970","Chevrolet","corvette convertible","https://bringatrailer.com/listing/1970-chevrolet-corvette-convertible-42/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
